DEBUG : 2021-07-02 18:25:26,773 I2s loop starts...
DEBUG : 2021-07-02 18:25:26,777 I2s objects created...
INFO : 2021-07-02 19:03:14,095 (59.5, 2495.0)
INFO : 2021-07-02 19:03:16,169 (59.69, 2497.0)
INFO : 2021-07-02 19:03:18,238 (60.0, 2497.0)
INFO : 2021-07-02 19:03:20,302 (59.6, 2498.0)
INFO : 2021-07-02 19:03:22,367 (59.45, 2496.0)
INFO : 2021-07-02 19:03:24,439 (59.54, 2494.0)
INFO : 2021-07-02 19:03:26,539 (60.16, 2508.0)
INFO : 2021-07-02 19:03:28,619 (60.11, 2501.0)
INFO : 2021-07-02 19:03:30,689 (60.17, 2503.0)
INFO : 2021-07-02 19:03:32,759 (60.07, 2504.0)
INFO : 2021-07-02 19:03:34,825 (59.33, 2503.0)
INFO : 2021-07-02 19:03:36,889 (59.67, 2499.0)
INFO : 2021-07-02 19:03:38,953 (60.21, 2512.0)
INFO : 2021-07-02 19:03:41,053 (61.93, 2505.0)
INFO : 2021-07-02 19:03:43,141 (59.72, 2501.0)
INFO : 2021-07-02 19:03:45,214 (59.89, 2507.0)
INFO : 2021-07-02 19:03:47,278 (59.93, 2504.0)
INFO : 2021-07-02 19:03:49,348 (60.23, 2506.0)
INFO : 2021-07-02 19:03:51,412 (60.18, 2508.0)
INFO : 2021-07-02 19:03:53,476 (60.45, 2507.0)
INFO : 2021-07-02 19:03:55,565 (60.16, 2507.0)
INFO : 2021-07-02 19:03:57,681 (60.25, 2518.0)
INFO : 2021-07-02 19:03:59,757 (60.28, 2507.0)
INFO : 2021-07-02 19:04:01,820 (60.73, 2513.0)
INFO : 2021-07-02 19:04:03,885 (60.46, 2511.0)
INFO : 2021-07-02 19:04:05,955 (60.53, 2510.0)
INFO : 2021-07-02 19:04:08,019 (60.32, 2511.0)
INFO : 2021-07-02 19:04:10,106 (60.42, 2509.0)
INFO : 2021-07-02 19:04:12,207 (60.24, 2514.0)
INFO : 2021-07-02 19:04:14,281 (60.55, 2513.0)
INFO : 2021-07-02 19:04:16,355 (60.25, 2508.0)
